Location,Longitude,Latitude
Africa,22.57823,7.222789
Alaska,-151.753695,65.717172
Albania,20.04983396,41.14244989
Angola,17.53736768,-12.29336054
Argentina,-65.17980692,-35.3813488
Armenia,44.92993276,40.28952569
Asia,83.207067,41.837296
Australia,134.4910001,-25.73288704
Azerbaijan,47.54599879,40.28827235
Bahamas,-76.62843038,24.29036702
Bali,115.172955,-8.319837
Balkans,43.808877,19.606712
Bengladesh,90.23812743,23.86731158
Brazil,-53.09783113,-10.78777702
Britain,-1.658989,53.440048
Bulgaria,25.21552909,42.76890318
Canada,-98.30777028,61.36206324
Central Africa,24.179298,0.478502
Central America,-89.197769,18.915096
Chile,-71.38256213,-37.73070989
China,103.8190735,36.56176546
Colombia,-73.08114582,3.91383431
Denmark,10.02800992,55.98125296
Dominican Republic,-70.50568896,18.89433082
East Africa,35.680741,-1.642523
Egypt,29.86190099,26.49593311
England,-1.658989,53.440048
Estonia,25.54248537,58.67192972
Europe,14.954238,49.136638
Finland,26.2746656,64.49884603
France,-2.76172945,42.17344011
Germany,10.38578051,51.10698181
Great Britain,-1.658989,53.440048
Greece,22.95555794,39.07469623
Guyana,-58.98202459,4.79378034
Hawaii,-157.047142,20.95945
Hungary,19.39559116,47.16277506
Iceland,-18.57396167,64.99575386
India,79.6119761,22.88578212
Indonesia,117.2401137,-2.21505456
Iran,54.27407004,32.57503292
Iraq,43.74353149,33.03970582
Ireland,-8.13793569,53.1754487
Italy,12.07001339,42.79662641
Japan,138.0308956,37.59230135
Korea,127.8391609,36.38523983
Latvia,24.91235983,56.85085163
Lithuania,23.88719355,55.32610984
Malaysia,109.6976228,3.78986846
Malta,14.40523316,35.92149632
Mariana Islands,145.698451,15.101367
Melanesia,142.691461,-26.035259
Mexico,-102.5234517,23.94753724
Mongolia,103.0529977,46.82681544
Myanmar,96.48843321,21.18566599
Nepal,83.9158264,28.24891365
Netherlands,5.28144793,52.1007899
New Guinea,144.437741,-6.134601
Nigeria,8.08943895,9.59411452
Norway,15.34834656,68.75015572
Ohio,-82.748691,40.182431
Peru,-74.38242685,-9.15280381
Philippines,122.8839325,11.77536778
Poland,19.39012835,52.12759564
Portugal,-8.50104361,39.59550671
Rome,12.487267,41.882636
Russia,96.68656112,61.98052209
Saudi Arabia,44.53686271,24.12245841
Scandinavia,68.75015572,15.34834656
Scotland,-4.240884,56.860936
Serbia,20.78958334,44.2215032
Singapore,103.8172559,1.35876087
Slovenia,14.80444238,46.11554772
Solomon Islands,159.6328767,-8.92178022
South America,-59.802381,-17.849056
Spain,-3.64755047,40.24448698
Sweden,16.74558049,62.77966519
Switzerland,8.20867471,46.79785878
Thailand,101.0028813,15.11815794
Trinidad and Tobago,-61.26567923,10.45733408
Turkey,35.16895346,39.0616029
United States,-112.4616737,45.6795472
Venezuela,-66.18184123,7.12422421
Vietnam,106.299147,16.6460167
West Africa,12.79527,6.27604
